id,text,route_airports,q_line,fir,q_code,traffic,purpose,scope,lower_limit,upper_limit,coords_radius,a_field,b_field,c_field,d_field,e_field,category,severity
KJFK-01-563,"01/563 NOTAMR 
Q) KZNY/QOBXX/IV/M//000//4038N07346W005 
A) KJFK 
B) 2601211940 
C) 2609031800 
E) CRANE (ASN 2022-AEA-1421-NRA) 403910N0734540W (1.1NM NE JFK) 57FT (45FT AGL) FLAGGED AND LGTD",KJFK,KZNY/QOBXX/IV/M//000//4038N07346W005,KZNY,QOBXX,IV,M,,0.0,,4038N07346W005,KJFK,2601211940,2609031800,,CRANE (ASN 2022-AEA-1421-NRA) 403910N0734540W (1.1NM NE JFK) 57FT (45FT AGL) FLAGGED AND LGTD,lighting,advisory
KJFK-6-3081,"Q) KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005
A) KJFK
B) 2602121412
C) 2609241412EST
E) JFK JOHN F KENNEDY INTL, NEW YORK, NY.
RNAV (GPS) RWY 31R, AMDT 2D...
LPV DA 218/HAT 205 ALL CATS.
EXCEPT WHEN ADVISED BY ATCT THAT THESE CRANES ARE DOWN. 
TEMPORARY CRANES 261 MSL 4630 FT W OF RWY 31R (2023-AEA-2063 THRU 2068-NRA).",KJFK,KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005,KZNY,QPIXX,I,NBO,A,0.0,999.0,4038N07346W005,KJFK,2602121412,2609241412EST,,"JFK JOHN F KENNEDY INTL, NEW YORK, NY.
RNAV (GPS) RWY 31R, AMDT 2D...
LPV DA 218/HAT 205 ALL CATS.
EXCEPT WHEN ADVISED BY ATCT THAT THESE CRANES ARE DOWN. 
TEMPORARY CRANES 261 MSL 4630 FT W OF RWY 31R (2023-AEA-2063 THRU 2068-NRA).",navaid,advisory
KJFK-6-3083,"Q) KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005
A) KJFK
B) 2602121413
C) 2609241413EST
E) JFK JOHN F KENNEDY INTL, NEW YORK, NY.
ILS OR LOC RWY 13L, AMDT 18D...
S-ILS 13L DA 278/HAT 265 ALL CATS. VISIBILITY ALL CATS RVR 2000.
UXHUB FIX MINIMUMS:
S-LOC 13L MDA 460/HAT 447 ALL CATS. VISIBILITY CATS C/D RVR 4500.
VDP AT I-TLK 2.86 DME; DISTANCE VDP TO THLD 1.17 NM.
EXCEPT WHEN ADVISED BY ATCT THAT THESE CRANES ARE DOWN. 
TEMPORARY CRANES 261 MSL 3037 FT SE OF RWY 13L (2023-AEA-2063 THRU 2068-NRA).",KJFK,KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005,KZNY,QPIXX,I,NBO,A,0.0,999.0,4038N07346W005,KJFK,2602121413,2609241413EST,,"JFK JOHN F KENNEDY INTL, NEW YORK, NY.
ILS OR LOC RWY 13L, AMDT 18D...
S-ILS 13L DA 278/HAT 265 ALL CATS. VISIBILITY ALL CATS RVR 2000.
UXHUB FIX MINIMUMS:
S-LOC 13L MDA 460/HAT 447 ALL CATS. VISIBILITY CATS C/D RVR 4500.
VDP AT I-TLK 2.86 DME; DISTANCE VDP TO THLD 1.17 NM.
EXCEPT WHEN ADVISED BY ATCT THAT THESE CRANES ARE DOWN. 
TEMPORARY CRANES 261 MSL 3037 FT SE OF RWY 13L (2023-AEA-2063 THRU 2068-NRA).",navaid,advisory
KJFK-6-3085,"Q) KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005
A) KJFK
B) 2602121413
C) 2609241413EST
E) JFK JOHN F KENNEDY INTL, NEW YORK, NY.
ILS OR LOC RWY 31R, AMDT 16B...
S-ILS 31R DA 217/HAT 204 ALL CATS.
S-LOC 31R MDA 460/HAT 447 ALL CATS. VISIBILITY CATS C/D RVR 4500.
VDP AT I-RTH 0.87 DME; DISTANCE VDP TO THLD 1.23 NM.
EXCEPT WHEN ADVISED BY ATCT THAT THESE CRANES ARE DOWN. 
TEMPORARY CRANES 261 MSL 4630 FT W OF RWY 31R (2023-AEA-2063 THRU 2068-NRA)..",KJFK,KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005,KZNY,QPIXX,I,NBO,A,0.0,999.0,4038N07346W005,KJFK,2602121413,2609241413EST,,"JFK JOHN F KENNEDY INTL, NEW YORK, NY.
ILS OR LOC RWY 31R, AMDT 16B...
S-ILS 31R DA 217/HAT 204 ALL CATS.
S-LOC 31R MDA 460/HAT 447 ALL CATS. VISIBILITY CATS C/D RVR 4500.
VDP AT I-RTH 0.87 DME; DISTANCE VDP TO THLD 1.23 NM.
EXCEPT WHEN ADVISED BY ATCT THAT THESE CRANES ARE DOWN. 
TEMPORARY CRANES 261 MSL 4630 FT W OF RWY 31R (2023-AEA-2063 THRU 2068-NRA)..",navaid,advisory
KJFK-6-3087,"Q) KZNY/QXXXX/I/NBO/A/000/999/4038N07346W025
A) KJFK
B) 2602121414
C) 2609241414EST
E) IAP JOHN F KENNEDY INTL, NEW YORK, NY.
ILS RWY 13L (CAT II) AMDT 18D ...
PROCEDURE NA.
EXCEPT WHEN ADVISED BY ATCT THAT THESE CRANES ARE DOWN. 
TEMPORARY CRANES 261 MSL 3037 FT SE OF RWY 13L (2023-AEA-2063 THRU 2068-NRA).",KJFK,KZNY/QXXXX/I/NBO/A/000/999/4038N07346W025,KZNY,QXXXX,I,NBO,A,0.0,999.0,4038N07346W025,KJFK,2602121414,2609241414EST,,"IAP JOHN F KENNEDY INTL, NEW YORK, NY.
ILS RWY 13L (CAT II) AMDT 18D ...
PROCEDURE NA.
EXCEPT WHEN ADVISED BY ATCT THAT THESE CRANES ARE DOWN. 
TEMPORARY CRANES 261 MSL 3037 FT SE OF RWY 13L (2023-AEA-2063 THRU 2068-NRA).",navaid,advisory
KJFK-6-4753,"Q) KZNY/QPDAO/I/NBO/A/000/999/4038N07346W005
A) KJFK
B) 2404301307
C) 2412101307EST
E) JFK JOHN F KENNEDY INTL, NEW YORK, NY.
KENNEDY FIVE DEPARTURE...
NOTE: COATE DEPARTURES NA EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE RNAV SYSTEM WITH GPS,
SAX VORTAC U/S.",KJFK,KZNY/QPDAO/I/NBO/A/000/999/4038N07346W005,KZNY,QPDAO,I,NBO,A,0.0,999.0,4038N07346W005,KJFK,2404301307,2412101307EST,,"JFK JOHN F KENNEDY INTL, NEW YORK, NY.
KENNEDY FIVE DEPARTURE...
NOTE: COATE DEPARTURES NA EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE RNAV SYSTEM WITH GPS,
SAX VORTAC U/S.",navaid,critical
KJFK-6-4963,"Q) KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005
A) KJFK
B) 2602171633
C) 2710051633EST
E) JFK JOHN F KENNEDY INTL, NEW YORK, NY.
COPTER RNAV (GPS) 027, ORIG-C...
LNAV MDA 680/HAS 647. NUMEROUS OFFSHORE TEMPORARY BARGE CRANES/WIND TURBINES 345FT MSL 10NM SOUTHWEST OF JFK AIRPORT (2024-WTE-4148 THRU 4149-OE, 2024-WTE-4196 THRU 4197-OE, 2024-WTE-4236 THRU 4344-OE).",KJFK,KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005,KZNY,QPIXX,I,NBO,A,0.0,999.0,4038N07346W005,KJFK,2602171633,2710051633EST,,"JFK JOHN F KENNEDY INTL, NEW YORK, NY.
COPTER RNAV (GPS) 027, ORIG-C...
LNAV MDA 680/HAS 647. NUMEROUS OFFSHORE TEMPORARY BARGE CRANES/WIND TURBINES 345FT MSL 10NM SOUTHWEST OF JFK AIRPORT (2024-WTE-4148 THRU 4149-OE, 2024-WTE-4196 THRU 4197-OE, 2024-WTE-4236 THRU 4344-OE).",navaid,advisory
KJFK-02-434,"02/434 NOTAMN 
Q) KZNY/QMXLC/IV/M/A/000/999/4038N07346W005 
A) KJFK 
B) 2602182118 
C) 2712312359 

E) TWY VA BTN TERMINAL 7 RAMP AND TWY A CLSDTWY ARSTRCTN>0? TO|",KJFK,KZNY/QMXLC/IV/M/A/000/999/4038N07346W005,KZNY,QMXLC,IV,M,A,0.0,999.0,4038N07346W005,KJFK,2602182118,2712312359,,TWY VA BTN TERMINAL 7 RAMP AND TWY A CLSDTWY ARSTRCTN>0? TO|,taxiway,advisory
KJFK-03-169,"03/169 NOTAMN 
Q) KZNY/QOBXX/IV/M//000//4038N07346W005 
A) KJFK 
B) 2603101757 
C) 2706222359 
E) CRANE (ASN 2025-AEA-4297-NRA) 403811N0734703W (0.3NM SW JFK) 112FT (100FT AGL) FLAGGED AND LGTD",KJFK,KZNY/QOBXX/IV/M//000//4038N07346W005,KZNY,QOBXX,IV,M,,0.0,,4038N07346W005,KJFK,2603101757,2706222359,,CRANE (ASN 2025-AEA-4297-NRA) 403811N0734703W (0.3NM SW JFK) 112FT (100FT AGL) FLAGGED AND LGTD,lighting,advisory
KJFK-03-179,"03/179 NOTAMN 
Q) KZNY/QOBXX/IV/M//000//4038N07346W005 
A) KJFK 
B) 2603102215 
C) 2708062359 
E) CRANE (ASN 2026-AEA-228-NRA) 403923N0734854W (1.9NM WNW JFK) 139FT (127FT AGL) FLAGGED AND LGTD",KJFK,KZNY/QOBXX/IV/M//000//4038N07346W005,KZNY,QOBXX,IV,M,,0.0,,4038N07346W005,KJFK,2603102215,2708062359,,CRANE (ASN 2026-AEA-228-NRA) 403923N0734854W (1.9NM WNW JFK) 139FT (127FT AGL) FLAGGED AND LGTD,lighting,advisory
KJFK-03-180,"03/180 NOTAMN 
Q) KZNY/QOBXX/IV/M//000//4038N07346W005 
A) KJFK 
B) 2603102226 
C) 2707132359 
E) CRANE (ASN 2025-AEA-5155-NRA) 403941N0734730W (1.4NM NNW JFK) 126FT (111FT AGL) FLAGGED AND LGTD",KJFK,KZNY/QOBXX/IV/M//000//4038N07346W005,KZNY,QOBXX,IV,M,,0.0,,4038N07346W005,KJFK,2603102226,2707132359,,CRANE (ASN 2025-AEA-5155-NRA) 403941N0734730W (1.4NM NNW JFK) 126FT (111FT AGL) FLAGGED AND LGTD,lighting,advisory
KJFK-03-190,"03/190 NOTAMN 
Q) KZNY/QOBXX/IV/M//000//4038N07346W005 
A) KJFK 
B) 2603111102 
C) 2609032359 
E) CRANE (ASN 2022-AEA-2510-NRA) 403921N0734521W (1.4NM NE JFK) 51FT (45FT AGL) FLAGGED AND LGTD",KJFK,KZNY/QOBXX/IV/M//000//4038N07346W005,KZNY,QOBXX,IV,M,,0.0,,4038N07346W005,KJFK,2603111102,2609032359,,CRANE (ASN 2022-AEA-2510-NRA) 403921N0734521W (1.4NM NE JFK) 51FT (45FT AGL) FLAGGED AND LGTD,lighting,advisory
KJFK-03-191,"03/191 NOTAMN 
Q) KZNY/QOBXX/IV/M//000//4038N07346W005 
A) KJFK 
B) 2603111103 
C) 2609032359 
E) CRANE (ASN 2022-AEA-2511-NRA) 403923N0734456W (1.7NM NE JFK) 49FT (45FT AGL) FLAGGED AND LGTD",KJFK,KZNY/QOBXX/IV/M//000//4038N07346W005,KZNY,QOBXX,IV,M,,0.0,,4038N07346W005,KJFK,2603111103,2609032359,,CRANE (ASN 2022-AEA-2511-NRA) 403923N0734456W (1.7NM NE JFK) 49FT (45FT AGL) FLAGGED AND LGTD,lighting,advisory
KJFK-03-285,"03/285 NOTAMN 
Q) KZNY/QMMXX/V/M/A/000/999/4038N07346W005 
A) KJFK 
B) 2603171655 
C) 2612312300 

E) TWY J SFC PAINTED HLDG PSN SIGNS FOR RWY 04R/22L FADED",KJFK,KZNY/QMMXX/V/M/A/000/999/4038N07346W005,KZNY,QMMXX,V,M,A,0.0,999.0,4038N07346W005,KJFK,2603171655,2612312300,,TWY J SFC PAINTED HLDG PSN SIGNS FOR RWY 04R/22L FADED,taxiway,advisory
KJFK-03-405,"03/405 NOTAMN 
Q) KZNY/QXXAS/IV/M/A/000/999/4038N07346W005 
A) KJFK 
B) 2603250736 
C) 2609052300 

E) TWY HB LGT BTN TERMINAL 4 RAMP AND TWY B U/S",KJFK,KZNY/QXXAS/IV/M/A/000/999/4038N07346W005,KZNY,QXXAS,IV,M,A,0.0,999.0,4038N07346W005,KJFK,2603250736,2609052300,,TWY HB LGT BTN TERMINAL 4 RAMP AND TWY B U/S,taxiway,critical
KJFK-03-408,"03/408 NOTAMN 
Q) KZNY/QMMXX/V/M/A/000/999/4038N07346W005 
A) KJFK 
B) 2603250804 
C) 2609052300 

E) TWY B TWY DIRECTION SIGN FOR TWY YA LGT U/S",KJFK,KZNY/QMMXX/V/M/A/000/999/4038N07346W005,KZNY,QMMXX,V,M,A,0.0,999.0,4038N07346W005,KJFK,2603250804,2609052300,,TWY B TWY DIRECTION SIGN FOR TWY YA LGT U/S,taxiway,advisory
KJFK-03-409,"03/409 NOTAMN 
Q) KZNY/QXXAS/IV/M/A/000/999/4038N07346W005 
A) KJFK 
B) 2603250809 
C) 2609052300 

E) TWY KF LGT BTN TERMINAL 4 RAMP AND TWY B U/S",KJFK,KZNY/QXXAS/IV/M/A/000/999/4038N07346W005,KZNY,QXXAS,IV,M,A,0.0,999.0,4038N07346W005,KJFK,2603250809,2609052300,,TWY KF LGT BTN TERMINAL 4 RAMP AND TWY B U/S,taxiway,critical
KATL-5-5008,"Q) KZTL/QPIXX/I/NBO/A/000/999/3338N08425W005
A) KATL
B) 2504101837
C) 2511201836EST
E) ATL HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
RNAV (GPS) PRM Y RWY 28, ORIG-A...
RNAV (GPS) Y RWY 28, AMDT 4A...
RNAV (RNP) Z RWY 28, AMDT 1...
VGSI AND RNAV GLIDEPATH NOT COINCIDENT (VGSI ANGLE 3.00/TCH 72).",KATL,KZTL/QPIXX/I/NBO/A/000/999/3338N08425W005,KZTL,QPIXX,I,NBO,A,0.0,999.0,3338N08425W005,KATL,2504101837,2511201836EST,,"ATL HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
RNAV (GPS) PRM Y RWY 28, ORIG-A...
RNAV (GPS) Y RWY 28, AMDT 4A...
RNAV (RNP) Z RWY 28, AMDT 1...
VGSI AND RNAV GLIDEPATH NOT COINCIDENT (VGSI ANGLE 3.00/TCH 72).",navaid,advisory
KATL-5-5010,"Q) KZTL/QPIXX/I/NBO/A/000/999/3338N08425W005
A) KATL
B) 2504101817
C) 2511201815EST
E) ATL HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
RNAV (GPS) Y RWY 10, AMDT 4A...
RNAV (RNP) Z RWY 10, AMDT 1...
VGSI AND RNAV GLIDEPATH NOT COINCIDENT (VGSI ANGLE 3.00/TCH 69).",KATL,KZTL/QPIXX/I/NBO/A/000/999/3338N08425W005,KZTL,QPIXX,I,NBO,A,0.0,999.0,3338N08425W005,KATL,2504101817,2511201815EST,,"ATL HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
RNAV (GPS) Y RWY 10, AMDT 4A...
RNAV (RNP) Z RWY 10, AMDT 1...
VGSI AND RNAV GLIDEPATH NOT COINCIDENT (VGSI ANGLE 3.00/TCH 69).",navaid,advisory
KATL-5-5012,"Q) KZTL/QXXXX/I/NBO/A/000/999/3338N08425W025
A) KATL
B) 2504101821
C) 2511201818EST
E) IAP HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
ILS OR LOC RWY 10, AMDT 5C ...
ILS RWY 10 (SA CAT I), AMDT 5C ...
ILS PRM RWY 10 (CLOSE PARALLEL), AMDT 5 ...
ILS PRM RWY 10 (SA CAT I)(CLOSE PARALLEL), AMDT 5 ...
ILS PRM RWY 10 (CAT II AND III)(CLOSE PARALLEL), AMDT 5 ...
VGSI AND ILS GLIDEPATH NOT COINCIDENT (VGSI ANGLE 3.00/TCH 69).",KATL,KZTL/QXXXX/I/NBO/A/000/999/3338N08425W025,KZTL,QXXXX,I,NBO,A,0.0,999.0,3338N08425W025,KATL,2504101821,2511201818EST,,"IAP HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
ILS OR LOC RWY 10, AMDT 5C ...
ILS RWY 10 (SA CAT I), AMDT 5C ...
ILS PRM RWY 10 (CLOSE PARALLEL), AMDT 5 ...
ILS PRM RWY 10 (SA CAT I)(CLOSE PARALLEL), AMDT 5 ...
ILS PRM RWY 10 (CAT II AND III)(CLOSE PARALLEL), AMDT 5 ...
VGSI AND ILS GLIDEPATH NOT COINCIDENT (VGSI ANGLE 3.00/TCH 69).",navaid,advisory
KATL-5-3263,"Q) KZTL/QPIXX/I/NBO/A/000/999/3338N08425W005
A) KATL
B) 2507011526
C) 2602101526EST
E) ATL HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
RNAV (RNP) Z RWY 8L, AMDT 1A...
RNP 0.30 DA 1516/HAT 501 ALL CATS, VIS ALL CATS RVR 5500. CHANGE NOTE TO READ: FOR INOP ALS, INCREASE RNP 0.15 ALL CATS RVR TO 5500 AND RNP 0.30 ALL CATS VISIBILITY TO 1 3/8 SM. TEMPORARY CRANE 1305 MSL 4393FT SW OF RWY 8L (2025-ASO-3650-NRA).",KATL,KZTL/QPIXX/I/NBO/A/000/999/3338N08425W005,KZTL,QPIXX,I,NBO,A,0.0,999.0,3338N08425W005,KATL,2507011526,2602101526EST,,"ATL HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
RNAV (RNP) Z RWY 8L, AMDT 1A...
RNP 0.30 DA 1516/HAT 501 ALL CATS, VIS ALL CATS RVR 5500. CHANGE NOTE TO READ: FOR INOP ALS, INCREASE RNP 0.15 ALL CATS RVR TO 5500 AND RNP 0.30 ALL CATS VISIBILITY TO 1 3/8 SM. TEMPORARY CRANE 1305 MSL 4393FT SW OF RWY 8L (2025-ASO-3650-NRA).",navaid,advisory
KATL-5-1984,"Q) KZTL/QPIXX/I/NBO/A/000/999/3338N08425W005
A) KATL
B) 2310021901
C) 2405131901EST
E) ATL HARTSFIELD - JACKSON ATLANTA INTL, ATLANTA, GA.
RNAV (RNP) Z RWY 26R, AMDT 1...
FOR INOPERATIVE ALS, INCREASE RNP 0.30 DA ALL CATS VISIBILITY TO RVR 6000.",KATL,KZTL/QPIXX/I/NBO/A/000/999/3338N08425W005,KZTL,QPIXX,I,NBO,A,0.0,999.0,3338N08425W005,KATL,2310021901,2405131901EST,,"ATL HARTSFIELD - JACKSON ATLANTA INTL, ATLANTA, GA.
RNAV (RNP) Z RWY 26R, AMDT 1...
FOR INOPERATIVE ALS, INCREASE RNP 0.30 DA ALL CATS VISIBILITY TO RVR 6000.",navaid,advisory
KATL-5-8266,"Q) KZTL/QPIXX/I/NBO/A/000/999/3338N08425W005
A) KATL
B) 2510291552
C) 2606101550EST
E) ATL HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
RNAV (RNP) Z RWY 28, AMDT 1...
RNP 0.11 DA 1315/HAT 317 ALL CATS. RNP 0.30 DA 1382/HAT 384, VIS RVR 2600 ALL CATS.",KATL,KZTL/QPIXX/I/NBO/A/000/999/3338N08425W005,KZTL,QPIXX,I,NBO,A,0.0,999.0,3338N08425W005,KATL,2510291552,2606101550EST,,"ATL HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
RNAV (RNP) Z RWY 28, AMDT 1...
RNP 0.11 DA 1315/HAT 317 ALL CATS. RNP 0.30 DA 1382/HAT 384, VIS RVR 2600 ALL CATS.",navaid,advisory
KATL-5-3374,"Q) KZTL/QXXXX/I/NBO/A/000/999/3338N08425W025
A) KATL
B) 2512021812
C) 2712021809EST
E) IAP HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
ILS PRM RWY 10 (CAT II-III), AMDT 5 ...
ILS RWY 10 (CAT II-III), AMDT 5C ...
NOTE FOR CAT III: LOCALIZER NOT SUITABLE FOR ELECTRONIC ROLLOUT GUIDANCE.",KATL,KZTL/QXXXX/I/NBO/A/000/999/3338N08425W025,KZTL,QXXXX,I,NBO,A,0.0,999.0,3338N08425W025,KATL,2512021812,2712021809EST,,"IAP HARTSFIELD/JACKSON ATLANTA INTL, ATLANTA, GA.
ILS PRM RWY 10 (CAT II-III), AMDT 5 ...
ILS RWY 10 (CAT II-III), AMDT 5C ...
NOTE FOR CAT III: LOCALIZER NOT SUITABLE FOR ELECTRONIC ROLLOUT GUIDANCE.",navaid,advisory
